Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
3,0.99mm (39.00mils),NPTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Mechanical
Total 3,,,,,
