Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
183,0.25mm (9.84mils),PTH,Round,F.Cu - B.Cu,Via
40,0.50mm (19.69mils),PTH,Round,F.Cu - B.Cu,Pad
5,3.20mm (125.98mils),PTH,Round,F.Cu - B.Cu,Pad
Total 228,,,,,
